# evals,fx,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19
5.000000000000000000e+01,3.543493480055039254e+04,-1.869601672475027954e+01,-6.211950260166190674e+00,-4.615288434978774745e+01,-4.164144515491348386e+01,-8.462720135404410371e+00,7.210678258938528984e+01,1.725058089356427615e+01,-4.330242751355803676e+01,-4.440449867527973282e+01,-9.075584895610646186e+00,-5.891793107900249282e+01,-5.972425779138536939e+01,2.807011963488378115e+00,-8.255412624383906461e+01,-3.282893529682695544e+00,-2.756475752243332522e+01,4.153732436313421772e+01,4.934924462040092408e+01,3.821858437115287188e+01,3.783608275098282547e+01
1.000000000000000000e+02,2.799077348065717524e+04,6.045839181493575154e+01,-2.554925971896519599e+01,6.188164685567702605e+00,4.412115755293299912e+00,2.989234677336332169e+01,-9.005516741326937336e+01,4.347906020137085648e+01,-1.710331960167400567e+01,-7.409148871321775687e+00,6.282484519835787751e+01,-3.423695815849330870e+01,-2.305295345235911952e+01,-4.165524112769652021e+01,-4.101229545272284582e+01,2.334197453725242344e+00,1.981560443406313965e+01,-2.940616046542543671e+01,-1.114684864780824824e+01,-3.827246195130064876e+01,-2.154295942274305276e+01
1.500000000000000000e+02,2.362392305851198762e+04,4.553713292079610397e+00,-1.402778148896288002e+01,6.932651407301912627e+01,-3.458573368862496267e+01,-2.391855851767016716e+01,-1.361808704517820168e+01,3.547242095934643658e+01,2.978101807895551545e+01,-4.937627996482017778e+01,-2.385083836228641019e+01,-5.633202763997264384e+01,1.211898202993972440e+01,9.344768479336110545e+00,-3.097009456968845242e+01,4.996770210043320759e+01,5.038177267418670624e+01,-3.335297662795279905e+01,-2.240064694229048214e+01,-1.763447491227285013e+01,-1.294299449461965423e+01
2.000000000000000000e+02,2.362392305851198762e+04,4.553713292079610397e+00,-1.402778148896288002e+01,6.932651407301912627e+01,-3.458573368862496267e+01,-2.391855851767016716e+01,-1.361808704517820168e+01,3.547242095934643658e+01,2.978101807895551545e+01,-4.937627996482017778e+01,-2.385083836228641019e+01,-5.633202763997264384e+01,1.211898202993972440e+01,9.344768479336110545e+00,-3.097009456968845242e+01,4.996770210043320759e+01,5.038177267418670624e+01,-3.335297662795279905e+01,-2.240064694229048214e+01,-1.763447491227285013e+01,-1.294299449461965423e+01
2.500000000000000000e+02,2.177327560550323687e+04,1.652366393144345125e+01,-2.282328782200485051e+01,3.388558147219212202e+01,-5.440668862169285092e+01,-3.169481016611891278e+01,5.573126245520092681e+01,7.108474970226991374e+00,3.492894665626461403e+01,3.103822977664398763e+01,-2.643872257701150730e+01,-5.772832400862105828e+01,-8.620536338910866903e-01,2.772504368132464592e+00,2.066005265065631136e+01,2.391606930696137567e+01,-4.933500466721447708e-01,-4.470804205592308733e+01,6.077268866841812667e+00,5.869418946592274722e+01,-2.597734550204599202e+00
3.000000000000000000e+02,2.177327560550323687e+04,1.652366393144345125e+01,-2.282328782200485051e+01,3.388558147219212202e+01,-5.440668862169285092e+01,-3.169481016611891278e+01,5.573126245520092681e+01,7.108474970226991374e+00,3.492894665626461403e+01,3.103822977664398763e+01,-2.643872257701150730e+01,-5.772832400862105828e+01,-8.620536338910866903e-01,2.772504368132464592e+00,2.066005265065631136e+01,2.391606930696137567e+01,-4.933500466721447708e-01,-4.470804205592308733e+01,6.077268866841812667e+00,5.869418946592274722e+01,-2.597734550204599202e+00
3.500000000000000000e+02,1.570946704080895870e+04,-1.042733781197653542e+01,-2.317172107373230716e+01,-5.425312297585340815e+01,-1.801116615515835662e+01,-1.365218283661097587e+01,-6.415592520958352907e+01,-3.798148056439659115e+01,-1.334495139657133755e+01,-1.055566116166850321e+01,4.785379422078725753e+01,-2.082745450973143875e+01,-1.472457378517483662e+01,-2.051683952834014946e+01,-2.172980311402535492e+01,9.796131573218396227e-01,-1.975204283517579995e+01,-1.353422633632218464e+01,5.020573454317055706e+00,-2.971988969930910685e+01,-2.109681049416587229e+01
4.000000000000000000e+02,1.334669194651313228e+04,-2.072433569065221093e+01,1.249284728301706870e+01,-2.889798563892349392e+01,-1.854258196216657240e+01,1.785788003956014691e+01,9.446238846922341281e+00,3.154216707549552368e+01,5.088345174650595482e+01,1.217052424997277171e+00,1.709053357476633295e+01,-9.349509243428769878e+00,1.376863374320264732e+01,-2.978957495510158537e+01,2.628613886130615640e+00,-1.350298758512096242e+00,-6.593055010553229067e+01,2.020102240192578336e-02,2.767514528846943733e+01,-3.157125956491992724e+01,3.718688121854434314e+00
4.500000000000000000e+02,1.017667839199718401e+04,-2.751967292965409939e+01,3.114603839943604413e+01,-9.659516819682117728e+00,-4.479961141068054431e+00,1.785788003956014691e+01,9.446238846922341281e+00,3.154216707549552368e+01,8.752707266414951448e+00,1.217052424997277171e+00,5.026478899349111629e+00,-7.904680588323860668e+00,2.971173337505162948e+01,-4.022477517509432943e+01,2.627554456513359504e+00,2.838955606371721174e+01,-4.510092566545951343e+01,-4.282125874944275878e+00,-1.971911901610073414e+01,-3.157125956491992724e+01,3.911653564956857121e+00
5.000000000000000000e+02,9.429313638458565038e+03,-3.862272995197989189e+01,3.114603839943604413e+01,-9.659516819682117728e+00,-4.479961141068054431e+00,1.785788003956014691e+01,-2.915686754681523141e+01,2.399850591488318230e+01,8.752707266414951448e+00,-2.045298793477273591e+01,5.026478899349111629e+00,-7.904680588323860668e+00,2.971173337505162948e+01,-4.022477517509432943e+01,2.627554456513359504e+00,-2.978780005576016521e+01,4.198279960225101526e+00,-4.282125874944275878e+00,-3.682486145603006022e+00,-3.157125956491992724e+01,9.230557104598627660e+00
5.500000000000000000e+02,9.215387872343584604e+03,-3.862272995197989189e+01,3.114603839943604413e+01,3.744856634382599481e+01,-4.479961141068054431e+00,-2.815736153628420624e+01,-2.915686754681523141e+01,2.399850591488318230e+01,8.752707266414951448e+00,-4.876544450573755185e+00,7.307790269414866202e+00,-7.904680588323860668e+00,1.313508098610461872e+01,-1.211638969007940148e+01,-2.253955541082344283e+01,-2.978780005576016521e+01,4.198279960225101526e+00,2.870186641254793258e+01,1.137255808001468438e+01,-1.119474718215758813e+01,9.230557104598627660e+00
